作物1,作物2,回归值,相关性
油麦菜,辣椒,0.4045,可替代性
油麦菜,空心菜,-0.7363,互补性
油麦菜,黄心菜,-0.5723,互补性
油麦菜,芹菜,0.0648,可替代性
油麦菜,大白菜,-0.1833,互补性
油麦菜,白萝卜,0.9059,可替代性
油麦菜,红萝卜,-0.951,互补性
油麦菜,榆黄菇,0.0325,可替代性
油麦菜,香菇,0.7311,可替代性
油麦菜,白灵菇,-0.405,互补性
油麦菜,羊肚菌,0.0851,可替代性
小青菜,黄瓜,0.318,可替代性
小青菜,生菜,0.9056,可替代性
小青菜,辣椒,-0.507,互补性
小青菜,空心菜,0.7422,可替代性
小青菜,黄心菜,-0.4075,互补性
小青菜,芹菜,-0.1839,互补性
小青菜,大白菜,-0.9806,互补性
小青菜,白萝卜,0.1038,可替代性
小青菜,红萝卜,0.9264,可替代性
小青菜,榆黄菇,-0.0337,互补性
小青菜,香菇,0.3816,可替代性
小青菜,白灵菇,0.2108,可替代性
小青菜,羊肚菌,-0.4345,互补性
黄瓜,生菜,-0.3998,互补性
黄瓜,辣椒,-0.9885,互补性
黄瓜,空心菜,-0.264,互补性
黄瓜,黄心菜,-0.7717,互补性
黄瓜,芹菜,-0.3657,互补性
黄瓜,大白菜,0.4969,可替代性
黄瓜,白萝卜,0.8767,可替代性
黄瓜,红萝卜,0.0209,可替代性
黄瓜,榆黄菇,0.981,可替代性
黄瓜,香菇,0.4634,可替代性
黄瓜,白灵菇,-0.8578,互补性
黄瓜,羊肚菌,0.7997,可替代性
生菜,辣椒,-0.7799,互补性
生菜,空心菜,-0.2335,互补性
生菜,黄心菜,-0.2212,互补性
生菜,芹菜,-0.866,互补性
生菜,大白菜,-0.5807,互补性
生菜,白萝卜,0.646,可替代性
生菜,红萝卜,-0.9676,互补性
生菜,榆黄菇,0.9003,可替代性
生菜,香菇,-0.1747,互补性
生菜,白灵菇,-0.1078,互补性
生菜,羊肚菌,-0.2884,互补性
辣椒,空心菜,0.3731,可替代性
辣椒,黄心菜,0.4287,可替代性
辣椒,芹菜,0.6227,可替代性
辣椒,大白菜,0.3044,可替代性
辣椒,白萝卜,0.9892,可替代性
辣椒,红萝卜,0.1699,可替代性
辣椒,榆黄菇,-0.9542,互补性
辣椒,香菇,0.8351,可替代性
辣椒,白灵菇,0.7083,可替代性
辣椒,羊肚菌,-0.0768,互补性
空心菜,黄心菜,-0.2593,互补性
空心菜,芹菜,0.2744,可替代性
空心菜,大白菜,0.4215,可替代性
空心菜,白萝卜,-0.2481,互补性
空心菜,红萝卜,0.1917,可替代性
空心菜,榆黄菇,0.184,可替代性
空心菜,香菇,-0.9385,互补性
空心菜,白灵菇,-0.4149,互补性
空心菜,羊肚菌,0.9702,可替代性
黄心菜,芹菜,-0.4949,互补性
黄心菜,大白菜,-0.8285,互补性
黄心菜,白萝卜,-0.9924,互补性
黄心菜,红萝卜,-0.0138,互补性
黄心菜,榆黄菇,0.734,可替代性
黄心菜,香菇,0.2861,可替代性
黄心菜,白灵菇,-0.924,互补性
黄心菜,羊肚菌,0.7002,可替代性
芹菜,大白菜,0.629,可替代性
芹菜,白萝卜,-0.6756,互补性
芹菜,红萝卜,0.6713,可替代性
芹菜,榆黄菇,-0.0656,互补性
芹菜,香菇,-0.3809,互补性
芹菜,白灵菇,0.7238,可替代性
芹菜,羊肚菌,0.0679,可替代性
大白菜,白萝卜,0.2826,可替代性
大白菜,红萝卜,-0.3091,互补性
大白菜,榆黄菇,0.8103,可替代性
大白菜,香菇,-0.52,互补性
大白菜,白灵菇,0.065,可替代性
大白菜,羊肚菌,-0.5726,互补性
白萝卜,红萝卜,0.6318,可替代性
白萝卜,榆黄菇,-0.2999,互补性
白萝卜,香菇,-0.9611,互补性
白萝卜,白灵菇,0.4275,可替代性
白萝卜,羊肚菌,0.173,可替代性
红萝卜,榆黄菇,0.5386,可替代性
红萝卜,香菇,0.9261,可替代性
红萝卜,白灵菇,-0.4552,互补性
红萝卜,羊肚菌,-0.6103,互补性
榆黄菇,香菇,0.4382,可替代性
榆黄菇,白灵菇,-0.3006,互补性
榆黄菇,羊肚菌,0.4393,可替代性
香菇,白灵菇,0.4666,可替代性
香菇,羊肚菌,-0.2418,互补性
白灵菇,羊肚菌,-0.3643,互补性
