作物1,作物2,皮埃尔系数,相关性
小青菜,大白菜,0.5369,正相关
小青菜,白萝卜,0.4132,正相关
小青菜,红萝卜,-0.1992,负相关
小青菜,榆黄菇,-0.6909,负相关
小青菜,香菇,-0.4126,负相关
小青菜,白灵菇,-0.4936,负相关
小青菜,羊肚菌,-0.7692,负相关
黄瓜,生菜,-0.308,负相关
黄瓜,辣椒,-0.396,负相关
黄瓜,空心菜,0.6002,正相关
黄瓜,黄心菜,0.1728,正相关
黄瓜,芹菜,0.5146,正相关
黄瓜,大白菜,0.7304,正相关
黄瓜,白萝卜,-0.3515,负相关
黄瓜,红萝卜,0.2328,正相关
黄瓜,榆黄菇,-0.2284,负相关
黄瓜,香菇,-0.9162,负相关
黄瓜,白灵菇,-0.2174,负相关
黄瓜,羊肚菌,0.6042,正相关
生菜,辣椒,-0.4795,负相关
生菜,空心菜,0.8075,正相关
生菜,黄心菜,0.9413,正相关
生菜,芹菜,-0.4981,负相关
生菜,大白菜,0.4972,正相关
生菜,白萝卜,0.2877,正相关
生菜,红萝卜,-0.6094,负相关
生菜,榆黄菇,0.4458,正相关
生菜,香菇,0.9785,正相关
生菜,白灵菇,0.1182,正相关
生菜,羊肚菌,0.0687,正相关
辣椒,空心菜,-0.737,负相关
辣椒,黄心菜,0.3987,正相关
辣椒,芹菜,-0.0666,负相关
辣椒,大白菜,-0.1116,负相关
辣椒,白萝卜,-0.2897,负相关
辣椒,红萝卜,0.5144,正相关
辣椒,榆黄菇,0.4403,正相关
辣椒,香菇,-0.9009,负相关
辣椒,白灵菇,0.7424,正相关
辣椒,羊肚菌,0.2691,正相关
空心菜,黄心菜,0.8613,正相关
空心菜,芹菜,0.6174,正相关
空心菜,大白菜,-0.3991,负相关
空心菜,白萝卜,-0.2391,负相关
空心菜,红萝卜,0.0059,正相关
空心菜,榆黄菇,-0.8903,负相关
空心菜,香菇,-0.0265,负相关
空心菜,白灵菇,-0.0392,负相关
空心菜,羊肚菌,-0.0543,负相关
黄心菜,芹菜,-0.2233,负相关
黄心菜,大白菜,-0.5376,负相关
黄心菜,白萝卜,-0.5683,负相关
黄心菜,红萝卜,0.4688,正相关
黄心菜,榆黄菇,0.6232,正相关
黄心菜,香菇,0.0586,正相关
黄心菜,白灵菇,-0.0952,负相关
黄心菜,羊肚菌,-0.8042,负相关
芹菜,大白菜,0.2398,正相关
芹菜,白萝卜,-0.5262,负相关
芹菜,红萝卜,0.4242,正相关
芹菜,榆黄菇,-0.1838,负相关
芹菜,香菇,0.8682,正相关
芹菜,白灵菇,0.5636,正相关
芹菜,羊肚菌,0.4298,正相关
大白菜,白萝卜,-0.8747,负相关
大白菜,红萝卜,0.3983,正相关
大白菜,榆黄菇,-0.6605,负相关
大白菜,香菇,-0.5539,负相关
大白菜,白灵菇,0.2805,正相关
大白菜,羊肚菌,0.0316,正相关
白萝卜,红萝卜,0.1429,正相关
白萝卜,榆黄菇,0.1445,正相关
白萝卜,香菇,-0.473,负相关
白萝卜,白灵菇,0.5683,正相关
白萝卜,羊肚菌,-0.7232,负相关
红萝卜,榆黄菇,0.4651,正相关
红萝卜,香菇,-0.145,负相关
红萝卜,白灵菇,0.3658,正相关
红萝卜,羊肚菌,0.2555,正相关
榆黄菇,香菇,-0.6522,负相关
榆黄菇,白灵菇,0.5418,正相关
榆黄菇,羊肚菌,-0.2595,负相关
香菇,白灵菇,-0.4178,负相关
香菇,羊肚菌,0.0657,正相关
白灵菇,羊肚菌,0.9307,正相关
