作物1,作物2,皮埃尔系数,相关性
小青菜,红萝卜,-0.4675,负相关
小青菜,榆黄菇,0.028,正相关
小青菜,香菇,-0.6658,负相关
小青菜,白灵菇,-0.2367,负相关
小青菜,羊肚菌,0.1976,正相关
黄瓜,生菜,-0.7197,负相关
黄瓜,辣椒,-0.8182,负相关
黄瓜,空心菜,0.5703,正相关
黄瓜,黄心菜,0.2359,正相关
黄瓜,芹菜,0.7531,正相关
黄瓜,大白菜,0.4352,正相关
黄瓜,白萝卜,-0.3236,负相关
黄瓜,红萝卜,0.4605,正相关
黄瓜,榆黄菇,-0.5726,负相关
黄瓜,香菇,-0.2281,负相关
黄瓜,白灵菇,0.3041,正相关
黄瓜,羊肚菌,0.3327,正相关
生菜,辣椒,0.3845,正相关
生菜,空心菜,0.7538,正相关
生菜,黄心菜,0.4882,正相关
生菜,芹菜,0.2912,正相关
生菜,大白菜,-0.0548,负相关
生菜,白萝卜,-0.0947,负相关
生菜,红萝卜,0.0054,正相关
生菜,榆黄菇,0.0638,正相关
生菜,香菇,-0.7512,负相关
生菜,白灵菇,-0.6171,负相关
生菜,羊肚菌,-0.044,负相关
辣椒,空心菜,-0.2037,负相关
辣椒,黄心菜,0.408,正相关
辣椒,芹菜,0.5523,正相关
辣椒,大白菜,-0.4145,负相关
辣椒,白萝卜,-0.1361,负相关
辣椒,红萝卜,0.1452,正相关
辣椒,榆黄菇,-0.3601,负相关
辣椒,香菇,0.746,正相关
辣椒,白灵菇,-0.9167,负相关
辣椒,羊肚菌,-0.1834,负相关
空心菜,黄心菜,0.545,正相关
空心菜,芹菜,-0.1203,负相关
空心菜,大白菜,-0.1456,负相关
空心菜,白萝卜,-0.2347,负相关
空心菜,红萝卜,-0.0484,负相关
空心菜,榆黄菇,0.9013,正相关
空心菜,香菇,0.481,正相关
空心菜,白灵菇,0.3153,正相关
空心菜,羊肚菌,0.0429,正相关
黄心菜,芹菜,-0.6148,负相关
黄心菜,大白菜,-0.341,负相关
黄心菜,白萝卜,-0.9785,负相关
黄心菜,红萝卜,-0.82,负相关
黄心菜,榆黄菇,0.2665,正相关
黄心菜,香菇,0.8425,正相关
黄心菜,白灵菇,-0.2315,负相关
黄心菜,羊肚菌,-0.4847,负相关
芹菜,大白菜,-0.5497,负相关
芹菜,白萝卜,0.1968,正相关
芹菜,红萝卜,0.4247,正相关
芹菜,榆黄菇,-0.8019,负相关
芹菜,香菇,0.7177,正相关
芹菜,白灵菇,-0.7885,负相关
芹菜,羊肚菌,-0.7598,负相关
大白菜,白萝卜,-0.8447,负相关
大白菜,红萝卜,0.5252,正相关
大白菜,榆黄菇,-0.8573,负相关
大白菜,香菇,-0.7201,负相关
大白菜,白灵菇,0.2652,正相关
大白菜,羊肚菌,-0.6425,负相关
白萝卜,红萝卜,0.8098,正相关
白萝卜,榆黄菇,0.6067,正相关
白萝卜,香菇,0.4705,正相关
白萝卜,白灵菇,0.8915,正相关
白萝卜,羊肚菌,-0.8102,负相关
红萝卜,榆黄菇,0.9219,正相关
红萝卜,香菇,-0.2598,负相关
红萝卜,白灵菇,-0.9312,负相关
红萝卜,羊肚菌,0.5186,正相关
榆黄菇,香菇,-0.6274,负相关
榆黄菇,白灵菇,-0.5955,负相关
榆黄菇,羊肚菌,0.0945,正相关
香菇,白灵菇,0.1186,正相关
香菇,羊肚菌,-0.7269,负相关
白灵菇,羊肚菌,0.6839,正相关
